# Time-averaged data for fix 3
# TimeStep c_myRg
200 6.97521
300 6.97511
400 6.97494
500 6.9747
600 6.97438
700 6.97401
800 6.97359
900 6.9731
1000 6.97254
1100 6.97193
1200 6.97127
1300 6.97059
1400 6.96981
1500 6.96898
1600 6.96809
1700 6.96714
1800 6.96615
1900 6.96508
2000 6.96394
2100 6.96272
2200 6.96141
2300 6.96003
2400 6.95858
2500 6.95709
2600 6.95556
2700 6.95396
2800 6.95231
2900 6.9506
3000 6.94884
3100 6.94705
3200 6.94523
3300 6.94335
3400 6.94145
3500 6.93954
3600 6.93762
3700 6.93567
3800 6.93365
3900 6.9316
4000 6.92956
4100 6.92751
4200 6.92546
4300 6.92337
4400 6.92124
4500 6.91909
4600 6.91693
4700 6.91472
4800 6.9125
4900 6.91027
5000 6.90805
5100 6.90586
5200 6.90365
5300 6.90143
5400 6.8992
5500 6.89695
5600 6.8947
5700 6.89246
5800 6.89021
5900 6.88795
6000 6.88567
6100 6.88338
6200 6.88108
6300 6.87877
6400 6.87645
6500 6.87416
6600 6.87189
6700 6.86964
6800 6.86738
6900 6.86515
7000 6.86293
7100 6.8607
7200 6.85849
7300 6.85632
7400 6.8542
7500 6.85206
7600 6.84994
7700 6.84783
7800 6.8457
7900 6.84355
8000 6.8414
8100 6.83921
8200 6.83704
8300 6.8349
8400 6.83276
8500 6.83062
8600 6.82849
8700 6.82638
8800 6.82427
8900 6.82217
9000 6.82008
9100 6.818
9200 6.81595
9300 6.81391
9400 6.81188
9500 6.80986
9600 6.80783
9700 6.80579
9800 6.80376
9900 6.80176
10000 6.79978
10100 6.79781
10200 6.79582
10300 6.79389
10400 6.79199
10500 6.79009
10600 6.78822
10700 6.7864
10800 6.78459
10900 6.7828
11000 6.78104
11100 6.77933
11200 6.77768
11300 6.77606
11400 6.77448
11500 6.77296
11600 6.77149
11700 6.77007
11800 6.76869
11900 6.76734
12000 6.76603
12100 6.76476
12200 6.76353
12300 6.76233
12400 6.76116
12500 6.76002
12600 6.75894
12700 6.75793
12800 6.75696
12900 6.75607
13000 6.75521
13100 6.75437
13200 6.75358
13300 6.75288
13400 6.75222
13500 6.75162
13600 6.75105
13700 6.75051
13800 6.75003
13900 6.74963
14000 6.74926
14100 6.74893
14200 6.74861
14300 6.74833
14400 6.7481
14500 6.7479
14600 6.74773
14700 6.74759
14800 6.7475
14900 6.74747
15000 6.74746
15100 6.74746
15200 6.74746
15300 6.74751
15400 6.74758
15500 6.74767
15600 6.74774
15700 6.74783
15800 6.74793
15900 6.74801
16000 6.74807
16100 6.74811
16200 6.74818
16300 6.74827
16400 6.74834
16500 6.74842
16600 6.74849
16700 6.74859
16800 6.74867
16900 6.74873
17000 6.74878
17100 6.74884
17200 6.74892
17300 6.74899
17400 6.74903
17500 6.74905
17600 6.74908
17700 6.74908
17800 6.74904
17900 6.74899
18000 6.74893
18100 6.74886
18200 6.74879
18300 6.74869
18400 6.74858
18500 6.74844
18600 6.74826
18700 6.74802
18800 6.74774
18900 6.74746
19000 6.74716
19100 6.74683
19200 6.7465
19300 6.74613
19400 6.74575
19500 6.74536
19600 6.74494
19700 6.74451
19800 6.74405
19900 6.74357
20000 6.74308
20100 6.7426
20200 6.74211
20300 6.7416
20400 6.74108
20500 6.74056
20600 6.74001
20700 6.73945
20800 6.73887
20900 6.7383
21000 6.7377
21100 6.73708
21200 6.73647
21300 6.73584
21400 6.7352
21500 6.73457
21600 6.73394
21700 6.73331
21800 6.7327
21900 6.73212
